model,precision,recall,map50,map50_95,imgsz,attention,attention_layers,loss_preset,box_gain,cls_gain,dfl_gain
yolov8n_neu,0.7363123657745967,0.7064728937014343,0.7699005095126651,0.4204998425467028,224.0,none,,default,7.5,0.5,1.5
yolov8s_neu,0.7807703485392046,0.6677115476068618,0.7455614460049693,0.4131049581595218,224.0,none,,default,7.5,0.5,1.5
yolo11n_neu,0.768861333651531,0.6952901568579289,0.7715115163298302,0.4183536743704701,224.0,none,,default,7.5,0.5,1.5
yolo11s_neu,0.7728043698231003,0.687472601802538,0.7697357576927376,0.417785778168816,224.0,none,,default,7.5,0.5,1.5
yolo11n_img256,0.7529892552490204,0.7081553682948266,0.7750914950695845,0.4128880257749311,256.0,none,,default,7.5,0.5,1.5
yolo11n_img320,0.7317815688313171,0.6993022828279378,0.7577447031062633,0.4151139274450844,320.0,none,,default,7.5,0.5,1.5
yolo11n_ema224,0.6942160774214621,0.7257004071502772,0.7486029558648458,0.3957034178829671,224.0,ema,"4,6,8",default,7.5,0.5,1.5
yolo11n_loss224,0.7369734763957488,0.6891706021909064,0.742896955261057,0.4112931933927226,224.0,none,,small_defect,9.0,0.35,2.0
yolo11n_ema_loss224,0.7377179383923159,0.6962572065234262,0.7653982866797602,0.4135813819464654,224.0,ema,"4,6,8",small_defect,9.0,0.35,2.0
yolo11n_ema_loss320,0.675218058590326,0.733473486294244,0.753404582807473,0.4175914862813952,320.0,ema,"4,6,8",small_defect,9.0,0.35,2.0
