model,corruption,corruption_label,accuracy,macro_f1,weighted_f1,seconds_per_image
resnet50,clean,Clean,1.0,1.0,1.0,0.0030522524103246355
resnet50,brightness_down,Low brightness,0.9962962962962963,0.9962958389924682,0.9962958389924682,0.0018252826813194487
resnet50,brightness_up,High brightness,0.9333333333333333,0.9319095727897285,0.9319095727897284,0.0017786202935019025
resnet50,low_contrast,Low contrast,0.8703703703703703,0.8557886005450883,0.8557886005450882,0.0017549534552489165
resnet50,gaussian_noise,Gaussian noise,0.8074074074074075,0.7995612570221536,0.7995612570221537,0.002356066230546545
resnet50,gaussian_blur,Gaussian blur,0.6407407407407407,0.564897115890785,0.564897115890785,0.0018255516300322832
mobilenet_v2,clean,Clean,1.0,1.0,1.0,0.0020435393701686904
mobilenet_v2,brightness_down,Low brightness,0.9703703703703703,0.9702645548314703,0.9702645548314704,0.0021203739137423258
mobilenet_v2,brightness_up,High brightness,0.9925925925925926,0.992631493242143,0.9926314932421431,0.0017715888856737702
mobilenet_v2,low_contrast,Low contrast,0.9888888888888889,0.988876529477197,0.9888765294771968,0.001831549371558207
mobilenet_v2,gaussian_noise,Gaussian noise,0.725925925925926,0.67398040787295,0.6739804078729501,0.002361833956092596
mobilenet_v2,gaussian_blur,Gaussian blur,0.362962962962963,0.2955665024630542,0.29556650246305416,0.0018605276545578683
mobilenet_v2_se,clean,Clean,1.0,1.0,1.0,0.0018260583919645459
mobilenet_v2_se,brightness_down,Low brightness,0.9962962962962963,0.9962958389924682,0.9962958389924682,0.001810582792731347
mobilenet_v2_se,brightness_up,High brightness,0.9703703703703703,0.9702876525263204,0.9702876525263205,0.001830759058120074
mobilenet_v2_se,low_contrast,Low contrast,0.9962962962962963,0.9962958389924682,0.9962958389924682,0.001990796770486567
mobilenet_v2_se,gaussian_noise,Gaussian noise,0.6888888888888889,0.6492443064182195,0.6492443064182194,0.002382654203446927
mobilenet_v2_se,gaussian_blur,Gaussian blur,0.45555555555555555,0.3689849978770581,0.3689849978770581,0.0017426074327280125
