model,corruption,corruption_label,precision,recall,map50,map50_95
yolov8n_neu,clean,Clean,0.7382530557285515,0.7128725442412436,0.7747646243727666,0.4226035903010449
yolov8n_neu,brightness_down,Low brightness,0.7394731545547426,0.6575508878921361,0.727988276739267,0.3911103125576803
yolov8n_neu,brightness_up,High brightness,0.7368966551079499,0.678716174911766,0.7297096832663693,0.39513682251096344
yolov8n_neu,low_contrast,Low contrast,0.6417928531121937,0.5274011414073468,0.5910416860735282,0.3231100511571414
yolov8n_neu,gaussian_noise,Gaussian noise,0.4118796805241625,0.3102881866435987,0.26698838683996584,0.12279533420563733
yolov8n_neu,gaussian_blur,Gaussian blur,0.8112212667165725,0.4586009627993837,0.4715808215661966,0.24941573113711726
yolov8s_neu,clean,Clean,0.7588498177229005,0.6974745761227362,0.7508368251096638,0.41467530930751195
yolov8s_neu,brightness_down,Low brightness,0.7706611112851115,0.6860951867852686,0.7194814943600959,0.3839002733596099
yolov8s_neu,brightness_up,High brightness,0.782936205398609,0.6470631416330921,0.721741694619543,0.38815377422023106
yolov8s_neu,low_contrast,Low contrast,0.6163384670799185,0.5941549035899253,0.6352236941465831,0.3372400170281459
yolov8s_neu,gaussian_noise,Gaussian noise,0.4009451817637156,0.2775904086513728,0.2168990581518316,0.1031099985853708
yolov8s_neu,gaussian_blur,Gaussian blur,0.6486838701825833,0.45934191144651226,0.4418009100249598,0.23288520807552474
