epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,model
1,153.984,1.87637,3.1628,1.71896,0.28706,0.4743,0.35938,0.15212,2.08994,2.98982,1.79656,0.000331224,0.000331224,0.000331224,cpu_smoke_yolov8n
1,5.30477,1.85683,3.36381,1.70067,0.91667,0.05929,0.263,0.11673,1.96135,3.34448,1.58228,0.000325,0.000325,0.000325,yolov8n_neu-2
2,7.89066,1.72722,2.0153,1.5397,0.38012,0.50237,0.34618,0.1492,2.07674,2.97597,1.7046,0.000651816,0.000651816,0.000651816,yolov8n_neu-2
3,10.2997,1.65352,1.77104,1.52159,0.45783,0.43821,0.35081,0.1471,2.03678,2.63363,1.82421,0.000972032,0.000972032,0.000972032,yolov8n_neu-2
4,12.9627,1.66297,1.7289,1.5472,0.27033,0.42433,0.32265,0.14121,2.27058,2.93704,1.99883,0.0009703,0.0009703,0.0009703,yolov8n_neu-2
5,15.3465,1.63764,1.65136,1.5397,0.52951,0.54263,0.53252,0.22979,2.07982,1.89265,1.81981,0.0009604,0.0009604,0.0009604,yolov8n_neu-2
6,17.9707,1.56939,1.61575,1.5026,0.70529,0.36816,0.41356,0.17455,2.05857,2.46783,1.85504,0.0009505,0.0009505,0.0009505,yolov8n_neu-2
7,20.3411,1.55663,1.5569,1.49606,0.63715,0.30987,0.30439,0.12041,2.59697,2.772,2.23325,0.0009406,0.0009406,0.0009406,yolov8n_neu-2
8,22.7149,1.5561,1.55043,1.48673,0.51347,0.52869,0.53935,0.23248,1.97996,1.92933,1.69572,0.0009307,0.0009307,0.0009307,yolov8n_neu-2
9,25.1075,1.53287,1.48077,1.46508,0.48687,0.59724,0.57313,0.2538,1.87834,1.83134,1.62763,0.0009208,0.0009208,0.0009208,yolov8n_neu-2
10,27.4609,1.50922,1.47561,1.45502,0.46944,0.51541,0.48826,0.22538,1.9108,1.9512,1.66069,0.0009109,0.0009109,0.0009109,yolov8n_neu-2
11,29.9737,1.51357,1.47817,1.45819,0.58492,0.59504,0.63187,0.28792,1.81087,1.7814,1.63813,0.000901,0.000901,0.000901,yolov8n_neu-2
12,32.654,1.47714,1.41682,1.43716,0.71341,0.54934,0.61372,0.29077,1.81726,1.657,1.55623,0.0008911,0.0008911,0.0008911,yolov8n_neu-2
13,35.3856,1.48909,1.42458,1.4321,0.66959,0.65143,0.67594,0.31122,1.83137,1.68359,1.57498,0.0008812,0.0008812,0.0008812,yolov8n_neu-2
14,38.127,1.48385,1.44959,1.4526,0.53644,0.59144,0.59552,0.28376,1.86699,1.64831,1.59845,0.0008713,0.0008713,0.0008713,yolov8n_neu-2
15,40.7889,1.45818,1.37159,1.42104,0.55876,0.63515,0.62754,0.30507,1.77816,1.60173,1.57867,0.0008614,0.0008614,0.0008614,yolov8n_neu-2
16,43.4786,1.4562,1.37277,1.4114,0.56997,0.55828,0.58579,0.29444,1.80855,1.60123,1.55603,0.0008515,0.0008515,0.0008515,yolov8n_neu-2
17,46.1629,1.44206,1.3529,1.40136,0.60282,0.62835,0.67161,0.32324,1.73837,1.54067,1.5486,0.0008416,0.0008416,0.0008416,yolov8n_neu-2
18,48.8847,1.44031,1.34684,1.41635,0.66003,0.62754,0.67676,0.32566,1.78312,1.59634,1.60508,0.0008317,0.0008317,0.0008317,yolov8n_neu-2
19,51.4664,1.43998,1.36037,1.40683,0.68673,0.61404,0.68282,0.33344,1.76154,1.52656,1.54417,0.0008218,0.0008218,0.0008218,yolov8n_neu-2
20,54.2072,1.4276,1.32316,1.39369,0.58283,0.62067,0.63118,0.31136,1.76033,1.50906,1.54125,0.0008119,0.0008119,0.0008119,yolov8n_neu-2
21,57.0238,1.41763,1.31562,1.40717,0.67561,0.63687,0.68983,0.33388,1.78838,1.43267,1.56876,0.000802,0.000802,0.000802,yolov8n_neu-2
22,59.9013,1.40168,1.29188,1.38562,0.56077,0.59126,0.62549,0.27419,1.87656,1.70596,1.65097,0.0007921,0.0007921,0.0007921,yolov8n_neu-2
23,62.7432,1.41053,1.29654,1.39018,0.56246,0.59841,0.62945,0.30713,1.74695,1.57445,1.55986,0.0007822,0.0007822,0.0007822,yolov8n_neu-2
24,65.4223,1.39495,1.26518,1.38184,0.58557,0.5308,0.5688,0.28527,1.78767,1.61364,1.52865,0.0007723,0.0007723,0.0007723,yolov8n_neu-2
25,67.9245,1.38862,1.26868,1.37955,0.73723,0.64338,0.70202,0.35136,1.69057,1.45908,1.50244,0.0007624,0.0007624,0.0007624,yolov8n_neu-2
26,70.6683,1.38816,1.22302,1.3661,0.60867,0.66899,0.67808,0.32325,1.80783,1.47581,1.54939,0.0007525,0.0007525,0.0007525,yolov8n_neu-2
27,73.5125,1.38374,1.20596,1.36197,0.58853,0.65555,0.65775,0.32582,1.69199,1.42292,1.52136,0.0007426,0.0007426,0.0007426,yolov8n_neu-2
28,76.5082,1.38123,1.22749,1.36093,0.58966,0.65597,0.6545,0.34323,1.65514,1.50963,1.50409,0.0007327,0.0007327,0.0007327,yolov8n_neu-2
29,79.3453,1.36475,1.21488,1.34833,0.6349,0.67905,0.67995,0.34269,1.69447,1.38553,1.51818,0.0007228,0.0007228,0.0007228,yolov8n_neu-2
30,82.1153,1.35364,1.20466,1.3541,0.685,0.65609,0.70107,0.33738,1.79656,1.39687,1.53949,0.0007129,0.0007129,0.0007129,yolov8n_neu-2
31,84.9194,1.33619,1.17593,1.34145,0.68252,0.64026,0.69585,0.33992,1.73316,1.38462,1.52945,0.000703,0.000703,0.000703,yolov8n_neu-2
32,87.7126,1.34824,1.16452,1.34583,0.61861,0.63974,0.67141,0.31272,1.83732,1.4675,1.56831,0.0006931,0.0006931,0.0006931,yolov8n_neu-2
33,90.5025,1.34717,1.16627,1.34537,0.54002,0.64418,0.61605,0.3036,1.76336,1.48218,1.54231,0.0006832,0.0006832,0.0006832,yolov8n_neu-2
34,93.1966,1.32993,1.16511,1.33683,0.71625,0.64092,0.70501,0.36542,1.64533,1.33345,1.48431,0.0006733,0.0006733,0.0006733,yolov8n_neu-2
35,95.6534,1.33743,1.14758,1.34488,0.64066,0.66099,0.70302,0.34727,1.74484,1.5295,1.55204,0.0006634,0.0006634,0.0006634,yolov8n_neu-2
36,98.3062,1.33084,1.14575,1.34369,0.57662,0.65998,0.64819,0.33195,1.66752,1.4265,1.51461,0.0006535,0.0006535,0.0006535,yolov8n_neu-2
37,101.08,1.33857,1.1562,1.33877,0.67233,0.64507,0.6725,0.35318,1.63558,1.32186,1.46349,0.0006436,0.0006436,0.0006436,yolov8n_neu-2
38,103.876,1.33417,1.14225,1.33671,0.61755,0.66171,0.67724,0.34752,1.69776,1.38456,1.51131,0.0006337,0.0006337,0.0006337,yolov8n_neu-2
39,106.648,1.31075,1.13574,1.33046,0.60865,0.6763,0.67358,0.34072,1.67496,1.37262,1.50164,0.0006238,0.0006238,0.0006238,yolov8n_neu-2
40,109.304,1.30495,1.1076,1.31735,0.65223,0.71244,0.7222,0.37421,1.67198,1.31571,1.48868,0.0006139,0.0006139,0.0006139,yolov8n_neu-2
41,111.991,1.29903,1.11004,1.31587,0.70989,0.6883,0.71143,0.36373,1.72076,1.27833,1.51259,0.000604,0.000604,0.000604,yolov8n_neu-2
42,114.682,1.29644,1.07122,1.31071,0.69361,0.64511,0.69151,0.35277,1.68295,1.30999,1.4821,0.0005941,0.0005941,0.0005941,yolov8n_neu-2
43,117.403,1.28874,1.08449,1.30212,0.64169,0.66554,0.70276,0.37779,1.64247,1.30488,1.47869,0.0005842,0.0005842,0.0005842,yolov8n_neu-2
44,120.171,1.2848,1.07953,1.30413,0.65517,0.68687,0.69375,0.36409,1.641,1.30224,1.47455,0.0005743,0.0005743,0.0005743,yolov8n_neu-2
